State,Year,Month,Temp,Count,price,Megawatthours
AK,2007,2,0.5999999999999996,-488,-0.2400000000000002,-54661
AK,2007,3,-6.3,504,0.6099999999999994,1457
AK,2007,4,30.099999999999998,790,-0.6099999999999994,-29758
AK,2007,5,9.5,1108,0.23000000000000043,-43815
AK,2007,6,11.600000000000001,491,0.08999999999999986,-6090
AK,2007,7,4.5,566,0.46000000000000085,15869
AK,2007,8,-2.299999999999997,500,-0.02000000000000135,18629
AK,2007,9,-9.700000000000003,327,-0.2599999999999998,-14213
AK,2007,10,-18.2,275,1.0199999999999996,-921
AK,2007,11,-5.5,-854,-0.9299999999999997,45613
AK,2007,12,-11.8,-193,1.0999999999999996,45774
AK,2008,1,-7.6,42393,-0.48999999999999844,35223
AK,2008,2,1.2999999999999998,-244,0.17999999999999972,-31873
AK,2008,3,10.9,868,0.2699999999999996,-47593
AK,2008,4,10.4,422,0.9100000000000001,-32777
AK,2008,5,16.1,1051,0.17999999999999972,-21605
AK,2008,6,9.699999999999996,575,-0.5199999999999996,-23549
AK,2008,7,2.4000000000000057,862,0.8899999999999988,8133
AK,2008,8,-2.8000000000000043,35,-0.5199999999999996,17217
AK,2008,9,-7.199999999999996,827,-0.3899999999999988,8191
AK,2008,10,-22.300000000000004,-172,-0.2400000000000002,18962
AK,2008,11,-9.299999999999999,-1951,-0.040000000000000924,30494
AK,2008,12,-3.5999999999999996,-746,-0.2400000000000002,33807
AK,2009,1,-6.2,-122,0.9600000000000009,41332
AK,2009,2,5.3,-262,-0.6400000000000006,-66861
AK,2009,3,2.0,1123,0.4900000000000002,-23170
AK,2009,4,17.0,-61,-0.3699999999999992,-23741
AK,2009,5,16.299999999999997,696,0.4599999999999991,-27350
AK,2009,6,9.399999999999999,930,0.2599999999999998,-11059
AK,2009,7,6.300000000000004,602,0.15000000000000036,12471
AK,2009,8,-7.100000000000001,225,-0.8699999999999992,8528
AK,2009,9,-7.399999999999999,574,0.4599999999999991,-10260
AK,2009,10,-11.100000000000001,-539,-0.4599999999999991,26124
AK,2009,11,-23.1,-1096,0.35999999999999943,31301
AK,2009,12,2.799999999999999,332,-0.40000000000000036,55132
AK,2010,1,-8.7,-8,-0.4399999999999995,3797
AK,2010,2,9.3,-92,0.27999999999999936,-63626
AK,2010,3,-1.0,1180,-0.16000000000000014,14251
AK,2010,4,17.099999999999998,-76,0.5,-46860
